sentences	label
" Wat drommel kon dien ouden heer bewegen, zich uittegeven voor een aanbidder van myn zusje Truitje die zeere oogen had, of van myn broÃªr Gerrit die altyd met zyn neus speelde?	droogstoppel
En toch, hy zegt:	droogstoppel
"dat hy die versjes zong, door _liefde_ gedrongen.	droogstoppel
" Ik dacht dikwyls als kind:	droogstoppel
"man, ik wilde u graag eens ontmoeten, en als ge my de marmerknikkers weigerde, die ik u vragen zou, of myn naam	droogstoppel
voluit in banket--ik heet _	droogstoppel
Batavus_--dan houd ik u voor een leugenaar.	droogstoppel
Maar ik heb Van Alphen nooit gezien.	droogstoppel
Hy was al dood, geloof ik, toen hy ons vertelde	droogstoppel
dat myn vader myn beste vrind was--ik hield meer van Pauweltje Winser, die naast ons woonde in de Batavierstraat--en dat myn kleine hond	droogstoppel
zoo dankbaar was.	droogstoppel
We hielden geen honden, omdat ze zoo onzindelyk zyn.  	droogstoppel
Zoo gaat dan de opvoeding voort.	droogstoppel
Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool.	droogstoppel
Alle Hollanders zyn dapper en edelmoedig.	droogstoppel
De Romeinen waren bly dat de Batavieren hen lieten leven.	droogstoppel
De Bey van Tunis kreeg een kolyk als hy het wapperen hoorde van de nederlandsche vlag.	droogstoppel
De hertog van Alva was een ondier.	droogstoppel
De eb, in 1672 geloof ik, duurde wat langer dan gewoonlyk, expres om Nederland te beschermen.	droogstoppel
Nederland is _Nederland_ gebleven, omdat onze oude luÃ® goed op hun zaken pasten, en omdat ze het ware geloof hadden.	droogstoppel
DÃ t is de zaak!  	droogstoppel
En dan komen later weer andere leugens.	droogstoppel
Een meisjen is een engel.	droogstoppel
Wie dit het eerst ontdekte, heeft nooit zusters gehad.	droogstoppel
Liefde is een zaligheid.	droogstoppel
Men vlucht met het een of ander voorwerp naar het einde der aarde.	droogstoppel
De aarde heeft geen einden, en die liefde is ook gekheid.	droogstoppel
Niemand kan zeggen dat ik niet goed leef met myn vrouw--zy is een dochter van Last & Co, makelaars in koffi	droogstoppel
--niemand kan iets op ons huwelyk aanmerken.	droogstoppel
Ik ben lid van _Artis_, zy heeft een sjaallong van twee-en-negentig gulden, en van zulk een malle liefde die volstrekt aan het einde der aarde wil wonen, is toch tusschen ons nooit spraak geweest.	droogstoppel
Toen we getrouwd zyn, hebben wy een toertje naar den Haag gemaakt--ze heeft daar flanel gekocht, waarvan ik nog borstrokken draag--en verder heeft ons de liefde nooit de wereld ingejaagd.	droogstoppel
Dus: alles gekheid en leugens!  	droogstoppel
En zou _myn_ huwelyk nu minder gelukkig wezen, dan van de menschen die zich uit liefde de tering op den hals haalden, of de haren uit het hoofd?	droogstoppel
Of denkt ge dat myn huishouden iets minder wel geregeld is, dan het wezen zou als ik voor zeventien jaar myn meisjen in _verzen_ gezegd had dat ik haar trouwen wilde?	droogstoppel
Ik had dit toch even goed kunnen doen als ieder ander, want verzenmaken is een ambacht, zeker minder moeielyk dan ivoordraaien.	droogstoppel
Hoe zouden anders de ulevellen met deviezen zoo goedkoop wezen?--Frits zegt:	droogstoppel
" ik weet niet, waarom?	droogstoppel
--En vraag eens naar den prys van een stel billardballen!  	droogstoppel
Ik heb niets tegen verzen op-zichzelf.	droogstoppel
Wil men de woorden in gelid	droogstoppel
't zetten, goed!	droogstoppel
Maar zeg niets wat niet waar is. "	droogstoppel
De lucht is guur, en 't is vier uur_.	droogstoppel
Dit laat ik gelden, als het werkelijk _guur_ en _vier uur_ is.	droogstoppel
Maar als 't kwartier voor drieÃ«n is, kan ik, die myn woorden niet in 't gelid zet, zeggen:	droogstoppel
"_de lucht is guur, en 't is kwartier voor drieÃ«n_.	droogstoppel
" De verzenmaker is door de _guurheid_ van den eersten regel aan een vol uur gebonden.	droogstoppel
Het moet voor hem juist _een, twee_ uur, enz. wezen, of de lucht mag niet guur zyn.	droogstoppel
_Zeven_ en _negen_ is verboden door de maat.	droogstoppel
Daar gaat hy dan aan 't knoeien!	droogstoppel
Of het weÃªr moet veranderd, Ã²f de tyd.	droogstoppel
n van beiden is dan gelogen.  	droogstoppel
En niet alleen die verzen lokken de jeugd tot onwaarheid.	droogstoppel
Ga eens in den schouwburg, en luister dÃ¡Ã¡r wat er voor leugens aan den man worden gebracht.	droogstoppel
De held van 't stuk wordt uit het water gehaald door iemand die op 't punt staat bankroet te maken.	droogstoppel
Dan geeft hy hem zyn halve vermogen.	droogstoppel
Dat kan niet waar zyn.	droogstoppel
Toen onlangs op de Prinsengracht myn hoed	droogstoppel
woei--Frits zegt:	droogstoppel
_waaide_--heb ik den man die hem my terugbracht, een dubbeltje gegeven;	droogstoppel
en hy was tevreden.	droogstoppel
Ik weet wel dat ik iets meer had moeten geven als hy myzelf er uit gehaald had, maar zeker myn halve vermogen niet.	droogstoppel
't Is immers duidelyk dat men op die wys maar tweemaal in 't water hoeft te vallen om doodarm te wezen.	droogstoppel
Wat het ergste is by zulke vertooningen op het tooneel, het publiek gewent zich zÃ³Ã³	droogstoppel
aan al die onwaarheden, dat het ze mooi vindt en toejuicht.	droogstoppel
Ik had weleens lust zoo'n heel parterre in 't water te gooien, om te zien wie dat toe juichen gemeend had.	droogstoppel
Ik, die van waarheid houd, waarschuw ieder dat ik voor 't opvisschen van myn persoon geen zoo hoog bergloon betalen wil.	droogstoppel
Wie met minder niet tevreden is, mag me laten liggen.	droogstoppel
Alleen Zondags zou ik iets meer geven, omdat ik dan myn	droogstoppel
draag, en een anderen rok.  	droogstoppel
Ja, dat tooneel bederft velen, meer nog dan de romans.	droogstoppel
Het is zoo aanschouwelyk!	droogstoppel
Met wat klatergoud en wat kant van uitgeslagen papier, ziet er dat alles zoo aanlokkelyk uit.	droogstoppel
Voor kinderen, meen ik, en voor menschen die niet in zaken zyn.	droogstoppel
Zelfs als die tooneelmenschen armoede willen voorstellen, is hun voorstelling altyd leugenachtig.	droogstoppel
Een meisje wier vader bankroet maakte, werkt om de familie te onderhouden.	droogstoppel
Daar zit ze dan te naaien, te breien of te borduren.	droogstoppel
Maar tel nu eens de steken die ze doet gedurende het heele bedryf.	droogstoppel
Ze praat, ze zucht, ze loopt naar 't venster, maar werken doet ze niet.	droogstoppel
De familie die van dezen arbeid leven kan, heeft weinig noodig.	droogstoppel
Zoo'n meisjen is natuurlyk de heldin.	droogstoppel
Ze heeft eenige verleiders de trappen afgeworpen, ze roept gedurig:	droogstoppel
"o myne moeder, o, myne moeder!" en stelt dus de deugd voor.	droogstoppel
Wat is dat voor een deugd, die een vol jaar noodig heeft voor een paar wollen kousen?	droogstoppel
Geeft dit alles niet valsche denkbeelden van deugd, en "_werken voor den kost?	droogstoppel
_" Alles gekheid en leugens!  	droogstoppel
Dan komt haar eerste minnaar--die vroeger klerk was aan 't kopieboek, maar nu schatryk--op-eens terug, en trouwt haar.	droogstoppel
Ook weer leugens.	droogstoppel
Wie geld heeft, trouwt geen meisjen uit een gefailleerd huis.	droogstoppel
En als ge meent, dat dit op het tooneel er dÃ³Ã³r kan als uitzondering, blyft toch myn aanmerking bestaan, dat men den zin voor waarheid bederft by het volk, dat de uitzondering als regel aanneemt, en dat men de publieke zedelykheid ondermynt, door het te gewennen iets toetejuichen op het _tooneel_, wat door elk fatsoenlyk makelaar of koopman voor een bespottelyke krankzinnigheid wordt gehouden in de _wereld_.	droogstoppel
Toen _ik_ trouwde, waren wy op 't kantoor van myn schoonvader--Last & Co--met ons dertienen, en er ging wat om!  	droogstoppel
En nog meer leugens op het tooneel.	droogstoppel
Als de held met zyn styven	droogstoppel
komediestap weggaat om 't verdrukte vaderland te redden	droogstoppel
, waarom gaat dan de dubbele achterdeur altyd vanzelf open?	droogstoppel
En verder, hoe kan de persoon die in verzen spreekt, voorzien wat de ander te antwoorden heeft, om hem 't rym gemakkelyk te maken?	droogstoppel
Als de veldheer tot de prinses Zegt:	droogstoppel
"_mevrouw, het is te laat, de poorten zyn gesloten_" hoe kan hy dan vooruit weten, dat zy zeggen wil:	droogstoppel
"_welaan dan, onversaagd, men doe het zwaard ontblooten?	droogstoppel
Want als zy nu eens, hoorende dat de poort toe was, antwoordde dat ze dan wat wachten zou tot er geopend werd, of dat zy een andermaal eens terug zou komen, waar bleef dan maat en rym?	droogstoppel
Is het dus niet een pure leugen, als de veldheer de prinses vragend aanziet, om te weten wat ze doen wil na 't poortsluiten?	droogstoppel
Nog-eens: als 't mensch nu eens lust had gehad te gaan slapen, in plaats van iets te ontblooten?	droogstoppel
Alles leugens!  	droogstoppel
En dan die beloonde deugd!	droogstoppel
O, o, o!	droogstoppel
Ik ben sedert zeventien jaren makelaar in koffi--Lauriergracht, NÂ	droogstoppel
° 37--en heb dus al zoo-iets bygewoond, maar het stuit my altyd vreeselyk, als ik de goede lieve waarheid zÃ³Ã³ zie verdraaien.	droogstoppel
Is 't niet om van de deugd een handelsartikel te maken?	droogstoppel
Het _is_ zoo niet in de wereld, en 't is _goed_ dat het niet zoo is.	droogstoppel
Want waar bleef de verdienste, als de deugd beloond werd?	droogstoppel
Waartoe dus die infame leugens altyd voorgewend?  	droogstoppel
Lukas, onze pakhuisknecht, die reeds by den vader van Last & Co heeft gewerkt--de firma was toen Last & Meyer, maar de Meyers zyn er lang uit	droogstoppel
t was dan toch wel een deugdzaam man.	droogstoppel
Geen boon kwam er ooit te-kort, hy ging stipt naar de kerk, en drinken deed hy niet.	droogstoppel
Als myn schoonvader te Driebergen was, bewaarde hy het huis, en de kas, en alles.	droogstoppel
Eens heeft hy aan de Bank zeventien gulden te veel ontvangen, en, hy bracht ze terug.	droogstoppel
Hy is nu oud en jichtig, en kan niet meer dienen.	droogstoppel
Nu heeft hy niets, want er gaat veel by ons om, en we hebben jong volk noodig.	droogstoppel
Welnu, ik houd dien Lukas voor zeer deugdzaam, maar wordt hy nu beloond?	droogstoppel
Komt er een prins die hem diamanten geeft, of een fee die hem boterhammen smeert?	droogstoppel
Hy is arm, en blyft arm, en dit moet ook zoo wezen.	droogstoppel
Ik_ kan hem niet helpen--want we hebben jong volk noodig, omdat er zooveel by ons omgaat--maar al _kon_ ik, waar bleef zyn verdienste, als hy nu op zyn ouden dag een gemakkelyk leven leiden kon?	droogstoppel
Dan zouden alle pakhuisknechts wel deugdzaam worden, en iedereen, hetgeen Gods bedoeling niet wezen kan, omdat er dan geen byzondere belooning voor de braven overbleef hier-namaals.	droogstoppel
Maar op een tooneel verdraaien ze dat	droogstoppel
... alles leugens!  	droogstoppel
Ik_ ben ook deugdzaam, maar vraag ik hiervoor belooning?	droogstoppel
Als myn zaken goed gaan--en dit doen ze--als myn vrouw en kinderen gezond zyn, zoodat ik geen gemaal heb met dokter en apteker	droogstoppel
als ik jaar-in jaar-uit een sommetje kan ter-zy leggen voor den ouden dag ... als Frits knap opgroeit, om later in myn plaats te komen als ik naar Driebergen ga	droogstoppel
zie, dan ben ik heel tevreden.	droogstoppel
Maar dit alles is een natuurlyk gevolg van de omstandigheden, en omdat ik op de zaken pas. Voor myn deugd eisch ik niets.  	droogstoppel
En dat ik toch deugdzaam bÃ¨n, blykt uit myn liefde voor de waarheid.	droogstoppel
Deze is, na myn gehechtheid aan het geloof, myn hoofdneiging.	droogstoppel
En ik wenschte dat ge hiervan overtuigd waart, lezer, omdat het de verontschuldiging is voor 't schryven van dit boek.  	droogstoppel
Een tweede neiging, die my even sterk als waarheidsliefde beheerscht, is de hartstocht voor myn vak.	droogstoppel
Ik ben namelyk makelaar in koffi, Lauriergracht NÂ° 37.	droogstoppel
Welnu, lezer, aan myn onkreukbare liefde voor de waarheid, en aan myn yver voor de zaken, hebt gy te danken dat deze bladen geschreven zyn.	droogstoppel
Ik zal u vertellen hoe dit is toegegaan.	droogstoppel
Daar ik nu voor 't oogenblik afscheid van u neem--ik moet naar de beurs--noodig ik u straks op een tweede hoofdstuk.	droogstoppel
Tot weerziens dus!  	droogstoppel
Eilieve, steek het by	droogstoppel
't is een kleine moeite ...	droogstoppel
het kan te-pas komen ...	droogstoppel
daar is het:	droogstoppel
Die Co ben ik, sedert de _Meyers	droogstoppel
_ er uit zyn ...	droogstoppel
de oude Last is myn schoonvader.   	droogstoppel
_ | | | LAST & Co | | | | MAKELAARS IN KOFFI | | | | Lauriergracht, NÂ° 37	droogstoppel
Het was slap op de beurs, maar de voorjaarsveiling zal 't wel goed maken.	droogstoppel
Denk niet dat er niets by ons omgaat.	droogstoppel
By Busselinck & Waterman is 't nog slapper.	droogstoppel
Een vreemde wereld!	droogstoppel
Men woont zoo iets by, als men zoo'n twintig jaren de beurs bezoekt.	droogstoppel
Verbeeld u dat ze daar getracht hebben--Busselinck & Waterman, meen ik--my Ludwig Stern aftenemen.	droogstoppel
Daar ik niet weet of gy aan de beurs bekend zyt, wil ik u even zeggen dat Stern een eerst huis is in koffi te Hamburg, dat altyd door Last & Co is bediend geworden.	droogstoppel
Heel toevallig kwam ik daar achter ...	droogstoppel
ik meen achter de knoeiery van Busselinck & Waterman.	droogstoppel
Zy zouden een kwart procent van de courtage laten vallen--onderkruipers zyn	droogstoppel
het, anders niet!--en zie nu eens wat ik gedaan heb om dien slag afteweren.	droogstoppel
Een ander in myn plaats had misschien aan Ludwig Stern geschreven dat hy ook wat zou laten vallen, dat hy hoopte op konsideratie om de langdurige diensten van Last & Co	droogstoppel
... ik heb uitgerekend dat de firma, sedert ruim vyftig jaren, vier ton aan Stern verdiend heeft.	droogstoppel
Die konnexie dateert van 't kontinentaal stelsel, toen wy dekoloniale waren insmokkelden van Helgoland.	droogstoppel
Ja, wie weet wat 'n ander al zoo zou geschreven hebben.	droogstoppel
Maar neen, onderkruipen doe ik niet.	droogstoppel
Ik ben naar _Polen	droogstoppel
gegaan[2] liet me pen en papier geven, en schreef:  _	droogstoppel
Dat de groote uitbreiding die onze zaken den laatsten tyd genomen hadden, vooral door de vele geÃ«erde orders uit Noord-Duitschland_ ...  	droogstoppel
't Is de zuivere waarheid!  	droogstoppel
_dat die uitbreiding eenige vermeerdering van ons personeel noodzakelyk maakte_.  	droogstoppel
't Is de waarheid!	droogstoppel
Gister-avend nog was de boekhouder na elven op 't kantoor, om zyn bril te zoeken.  	droogstoppel
Dat vooral zich de behoefte deed gevoelen aan fatsoenlyke, welopgevoede jongelieden, voor de korrespondentie in het duitsch.	droogstoppel
Dat wel-is-waar veel duitsche jongelingen, in Amsterdam aanwezig, hiertoe de vereischte bekwaamheden bezaten, maar dat een huis dat zich respekteert	droogstoppel
't Is de zuivere waarheid!  	droogstoppel
_by de toenemende ligtzinnigheid en onzedelykheid onder de jeugd, by het dagelyks aangroeien van het getal fortuinzoekers, en met het oog op de noodzakelykheid om soliditeit van gedrag, hand-aan-hand te doen gaan met soliditeit in de uitvoering, van de gegeven orders	droogstoppel
, waarachtig, alles de zuivere waarheid!  	droogstoppel
_dat zulk een huis_--ik bedoel Last & Co	droogstoppel
, makelaars in koffi, Lauriergracht NÂ	droogstoppel
37--_niet omzichtig genoeg wezen kon met het engageeren van sujetten_.  	droogstoppel
Dit alles is de zuivere waarheid, lezer!	droogstoppel
Weet ge wel, dat de jonge Duitscher, die op de beurs by pilaar 17 stond, weggeloopen is met de dochter van Busselinck & Waterman?	droogstoppel
Onze Marie wordt ook al dertien in September.  	droogstoppel
_dat ik de eer had gehad	droogstoppel
van den heer Saffeler te vernemen	droogstoppel
_ --Saffeler reist voor Stern--_dat de geachte chef der firma, de heer Ludwig Stern, een zoon had, den heer Ernest Stern, die ter volmaking zyner kommercieele kennis, eenigen tyd in een hollandsch huis wenschte geÃ«mploieerd te zyn.	droogstoppel
Dat ik met het oog op_ ...  	droogstoppel
Hier herhaalde ik weer al die onzedelykheid, en vertelde de geschiedenis der dochter van Busselinck & Waterman.	droogstoppel
Niet om iemand zwart te maken ...	droogstoppel
neen, bekladden ligt nu juist heelemaal niet in myn manier!	droogstoppel
Maar ... het kan nooit kwaad dat ze 't weten, dunkt	droogstoppel
dat ik met het oog dÃ¡Ã¡rop, niets liever wenschte dan den heer Ernest Stern belast te zien met de duitsche korrespondentie van ons huis_.  	droogstoppel
Uit kiesheid vermeed ik alle toespeling op honorarium of salaris.	droogstoppel
Maar ik voegde er by:  _	droogstoppel
Dat, indien de heer Ernest Stern het verblyf ten onzen huize --Lauriergracht NÂ	droogstoppel
° 37--wilde voor lief nemen, myn vrouw zich bereid verklaarde als een moeder voor hem te zorgen, en dat zyn linnengoed in huis zou versteld worden_.  	droogstoppel
Dit is de zuivere waarheid, want Marie stopt en maast heel lief.	droogstoppel
En ten-slotte:  _	droogstoppel
Dat by ons de Heer gediend	droogstoppel
werd_.[3]  Die kan hy in zyn zak steken, want de Sterns zyn Luthersch.	droogstoppel
En ik verzond myn brief.	droogstoppel
Ge begrypt dat de oude Stern niet goedschiks by	droogstoppel
Busselinck & Waterman kan overgaan, als de jonge by ons aan 't kantoor is.	droogstoppel
Ik ben zeer benieuwd naar het antwoord.  	droogstoppel
Om nu terug te komen op myn boek.	droogstoppel
Voor eenigen tyd kom ik 's avends door de Kalverstraat, en bleef staan kyken naar den winkel van een kruienier, die zich bezighield met het sorteeren van een partytje _Java, ordinair, mooi-geel, Cheribonaard, iets gebroken, met veegsel_, dat me zeer interesseerde, want ik let altyd op alles.	droogstoppel
Daar viel my op-eenmaal een heer in 't oog, die daarnaast voor een boekwinkel stond en me bekend voorkwam.	droogstoppel
Hy scheen ook my te herkennen, want onze blikken ontmoetten elkander gedurig.	droogstoppel
Ik moet betuigen dat ik te verdiept was in 't veegsel, om terstond optemerken, wat ik namelyk later zag, dat hy vry kaal in de kleeren stak.	droogstoppel
Anders had ik de zaak daarby gelaten.	droogstoppel
Maar op-eens schoot my de gedachte in, dat hy misschien reiziger was van een duitsch huis, die een solieden makelaar zocht.	droogstoppel
Hy had dan ook wel iets van een Duitscher, en van een reiziger ook.	droogstoppel
Hy was zeer blond, had blauwe oogen, en in houding en kleeding iets dat den vreemdeling verraadde.	droogstoppel
In-plaats van een behoorlyken winterjas, hing hem een soort van sjaal over den schouder--Frits zegt "shawl" maar dit doe ik niet--alsof hy zoo van de reis kwam.	droogstoppel
Ik meende een klant te zien, en gaf hem een adreskaartje:	droogstoppel
_Last & Co	droogstoppel
, makelaars in koffi, Lauriergracht NÂ	droogstoppel
° 37_.	droogstoppel
Hy hield het by de gasvlam, en zeide:	droogstoppel
"ik dank u, maar ik heb me vergist.	droogstoppel
Ik dacht het genoegen te hebben een ouden schoolkameraad voor me te zien, maar ...	droogstoppel
_Last_?	droogstoppel
Dit is de naam niet."  	droogstoppel
--Pardon, zei ik	droogstoppel
--want ik ben altyd beleefd--	droogstoppel
ik ben m'nheer Droogstoppel, Batavus Droogstoppel.	droogstoppel
_Last en Co_ is de firma, makelaars in koffi, Lauriergr ...  --Wel, Droogstoppel, kent ge my niet meer?	droogstoppel
Zie my eens goed aan.  	droogstoppel
Hoe meer ik hem aanzag, hoe meer	droogstoppel
my herinnerde hem meer gezien te hebben.	droogstoppel
Maar, zonderling, zyn gelaat deed my de uitwerking alsof ik vreemde parfumerien rook.	droogstoppel
Lach hier niet om, lezer, straks zult ge zien hoe dit kwam.	droogstoppel
Ik ben verzekerd dat hy geen drup reukwerk by zich droeg, en toch rook ik iets aangenaams, iets sterks, iets wat me herinnerde aan ...	droogstoppel
daar had ik het!  	droogstoppel
gy het, riep ik, die my van den Griek hebt verlost?  	droogstoppel
, zeide hy, dat was _ik_.	droogstoppel
En hoe gaat het _U_?  	droogstoppel
Ik vertelde dat we met ons dertienen op 't kantoor waren, en dat er zooveel by ons omging.	droogstoppel
En toen vroeg ik hoe het hÃ¨m ging, wat me later speet, want hy scheen niet in goede omstandigheden te verkeeren, en ik houd niet van arme menschen, omdat er gewoonlyk eigen schuld onder loopt, daar de Heer niet iemand verlaten zou, die hem trouw gediend had.	droogstoppel
Had ik eenvoudig gezegd, "we zyn met ons dertienen, en ... goeien avend verder!" dan was ik van hem af geweest.	droogstoppel
Maar door dat vragen en antwoorden werd het hoe langer hoe moeielyker--Frits zegt:	droogstoppel
_hoe langs zoo_ moeielyker, maar dit doe ik niet--_hoe	droogstoppel
moeielyker dus, om van hem verlost te worden.	droogstoppel
Aan den anderen kant moet ik ook weer erkennen dat ge dan dit boek niet hadt te lezen gekregen, want het is een gevolg van die ontmoeting.	droogstoppel
Ik houd er van, het goede optemerken, en wie dit niet doen, zyn ontevreden menschen die ik niet lyden kan.  	droogstoppel
Ja, ja, hy was het, die my uit de handen van den Griek had verlost!	droogstoppel
Denk nu niet dat ik ooit door zeeroovers ben genomen geweest, of dat ik twist heb gehad in den Levant.	droogstoppel
Ik heb u reeds gezegd dat _ik_ na myn trouwen, met myn vrouw naar den Haag ben gegaan.	droogstoppel
Daar hebben wy het Mauritshuis gezien, en flanel gekocht in de Veenestraat.	droogstoppel
Dit is het eenige uitstapje dat de zaken my ooit hebben veroorloofd, omdat er zooveel by ons omgaat.	droogstoppel
Neen, in Amsterdam zelf had hy om-mynentwil een Griek den neus aan 't bloeden geslagen.	droogstoppel
Want hy bemoeide zich altyd met dingen die hem niet aangingen.  	droogstoppel
Het was in drie of vier en dertig, geloof ik, en in September, want er was kermis te Amsterdam.	droogstoppel
Daar myn oude luÃ® van voornemen waren een predikant van my te maken, leerde ik latyn.	droogstoppel
Later heb ik myzelf dikwyls afgevraagd, waarom men latyn moet verstaan, om in 't hollandsch te zeggen:	droogstoppel
"God is goed?"	droogstoppel
Genoeg, ik was op de latynsche school--nu zeggen ze _gymnasium_--en	droogstoppel
daar was kermis ... in Amsterdam, meen ik.	droogstoppel
Op de Westermarkt stonden kramen, en als ge een Amsterdammer zyt, lezer, en nagenoeg van myn leeftyd, zult ge u herinneren hoe daaronder Ã©	droogstoppel
n was, die uitmuntte door de zwarte oogen en de lange vlechten van een meisje, dat als een Griekin gekleed was.	droogstoppel
Ook haar vader was een Griek, of althans hy zag er uit als een Griek.	droogstoppel
Ze verkochten allerlei reukgoed.  	droogstoppel
Ik was juist oud genoeg om het meisje mooi te vinden, zonder evenwel den moed te hebben haar aantespreken.	droogstoppel
Dit zou my ook weinig gebaat hebben, want meisjes van achttien jaren beschouwen een jongen van zestien, als een kind.	droogstoppel
En hierin hebben ze groot gelyk.	droogstoppel
Toch kwamen wy, jongens van _quarta_, altyd 's avends op de Westermarkt om dat meisje te zien.  	droogstoppel
Nu was hy die daar voor me stond met zyn sjaal, eens daarby, schoon hy	droogstoppel
een paar jaren jonger was dan de anderen, en dus nog te kinderachtig om naar de Griekin te kyken.	droogstoppel
Maar hy was de _primus_ van onze klasse--want knap was hy, dit moet ik erkennen--en hy hield veel van spelen, stoeien en vechten.	droogstoppel
DÃ¡Ã¡rom was hy by ons.	droogstoppel
Terwyl we dus--we waren wel met ons tienen--vry ver van de kraam af, naar die Griekin stonden te kyken, en beraadslaagden hoe wy 't moesten aanleggen om kennis met haar te maken, werd er besloten geld by-een te leggen om iets in die kraam te koopen.	droogstoppel
Maar toen was de goede raad duur, om te weten wie de stoute schoenen zou aantrekken om het meisjen aantespreken.	droogstoppel
Ieder wilde, maar niemand durfde.	droogstoppel
Er werd geloot, en het lot viel op my.	droogstoppel
Nu erken ik, dat ik niet gaarne gevaren trotseer.	droogstoppel
Ik ben man en vader, en houd ieder die het gevaar zoekt, voor een gek, wat ook in de Schrift staat.	droogstoppel
Het is my inderdaad aangenaam optemerken hoe ik my in myn denkbeelden over gevaar en zulke dingen, gelyk ben gebleven, daar ik thans over zoo-iets nog juist dezelfde meening koester, als dien avend toen ik daar by de kraam van den Griek stond, met de twaalf stuivers die we saamgelegd hadden, in de hand.	droogstoppel
Maar zie, uit valsche schaamte durfde ik niet zeggen dat ik niet durfde, en bovendien, ik moest wel vooruit, want myn makkers drongen me, en weldra stond ik voor de kraam.  	droogstoppel
Het meisje zag ik niet:	droogstoppel
ik zag niets!	droogstoppel
Alles werd me groen en geel voor de oogen.	droogstoppel
Ik stamelde een _aoristus primus_ van ik weet niet welk werkwoord	droogstoppel
...  --_PlaÃ®t-il?	droogstoppel
_ zeide zy.  	droogstoppel
Ik herstelde my eenigszins, en ging voort:  	droogstoppel
thea_, en ... dat Egypte een geschenk van den Nyl was.  	droogstoppel
Ik ben overtuigd dat ik in de kennismaking zou geslaagd zyn, indien niet op dat oogenblik een myner makkers uit kinderachtige baldadigheid my een zoo harden stoot in den rug had gegeven, dat ik heel onzacht tegen de uitstalkast aanvloog, die op halvemanshoogte de voorzy van de kraam afsloot.	droogstoppel
Ik voelde een greep in myn nek ...	droogstoppel
een tweeden greep veel lager ...	droogstoppel
ik zweefde een oogenblik ...	droogstoppel
ik recht begreep hoe de zaken stonden, was ik in de kraam van den Griek, die in verstaanbaar fransch zei dat ik een _gamin_ was, en dat hy de policie roepen zou.	droogstoppel
Nu was ik wel dicht by het meisje, maar genoegen deed het me niet.	droogstoppel
Ik schreide, en bad om genade, want ik zat vreeselyk in angst.	droogstoppel
Maar het baatte niet.	droogstoppel
De Griek hield me by den arm, en schopte my.	droogstoppel
Ik zocht naar myn	droogstoppel
makkers--we hadden juist dien morgen veel over Scaevola te doen gehad, die zyn hand in 't vuur stak, en in hun latynsche opstellen hadden ze dit zoo heel mooi gevonden--jawel!	droogstoppel
Niemand was daar gebleven om voor _my_ een hand in 't vuur te steken ...  	droogstoppel
ZÃ³Ã³ meende ik.	droogstoppel
Maar zie, daar vloog op-eens	droogstoppel
myn Sjaalman door de achterdeur de kraam in.	droogstoppel
Hy was niet groot of sterk, en pas een jaar of dertien oud, maar hy was een vlug en dapper mannetje.	droogstoppel
Nog zie 'k zyn oogen flikkeren--anders zagen ze flauw--hy gaf den Griek een vuistslag, en ik was gered.	droogstoppel
