	sentences	label	length	n_words	pos_tag	dependency	trigrams
779	I do not now speak of undertakings whose completion was necessary to defray the expenses: whoever wants to know exactly what I mean, must go and see the Cathedral at Cologne.	stern	174	31	['SYM', 'X', 'X', 'X', 'X', 'CCONJ', 'X', 'X', 'NOUN', 'AUX', 'ADJ', 'X', 'X', 'X', 'X', 'PUNCT', 'X', 'NOUN', 'X', 'NOUN', 'ADV', 'NOUN', 'SYM', 'NOUN', 'PUNCT', 'X', 'X', 'X', 'X', 'X', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']	['nmod', 'fixed', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'ROOT', 'cop', 'advmod', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'nsubj', 'fixed', 'nmod', 'fixed', 'fixed', 'parataxis', 'appos', 'fixed', 'punct', 'nmod', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'ROOT', 'punct']	[['I', 'do', 'not'], ['do', 'not', 'now'], ['not', 'now', 'speak'], ['now', 'speak', 'of'], ['speak', 'of', 'undertakings'], ['of', 'undertakings', 'whose'], ['undertakings', 'whose', 'completion'], ['whose', 'completion', 'was'], ['completion', 'was', 'necessary'], ['was', 'necessary', 'to'], ['necessary', 'to', 'defray'], ['to', 'defray', 'the'], ['defray', 'the', 'expenses:'], ['the', 'expenses:', 'whoever'], ['expenses:', 'whoever', 'wants'], ['whoever', 'wants', 'to'], ['wants', 'to', 'know'], ['to', 'know', 'exactly'], ['know', 'exactly', 'what'], ['exactly', 'what', 'I'], ['what', 'I', 'mean,'], ['I', 'mean,', 'must'], ['mean,', 'must', 'go'], ['must', 'go', 'and'], ['go', 'and', 'see'], ['and', 'see', 'the'], ['see', 'the', 'Cathedral'], ['the', 'Cathedral', 'at'], ['Cathedral', 'at', 'Cologne.']]
780	Let him think of the grand conception of that building in the soul of the architect ;—of the faith in the hearts of the people, which furnished him with the means to commence and continue that labour ;— of the influence of the ideas, which required such a colossus to serve as a visible representation of unseen religious feeling — and let him compare that enthusiasm with the train of ideas, that some centuries afterwards stopped the labour.	stern	443	78	['NOUN', 'PROPN', 'NOUN', 'CCONJ', 'X', 'X', 'X', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'X', 'X', 'X', 'X', 'NOUN', 'PUNCT', 'SYM', 'CCONJ', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'PUNCT', 'ADJ', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'X', 'PUNCT', 'SYM', 'X', 'X', 'X', 'X', 'X', 'X', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'X', 'X', 'X', 'X', 'ADJ', 'NOUN', 'ADJ', 'X', 'X', 'X', 'CCONJ', 'NOUN', 'PUNCT', 'X', 'X', 'NOUN', 'ADJ', 'NOUN', 'X', 'X', 'PUNCT']	['ROOT', 'flat', 'parataxis', 'fixed', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'case', 'nmod', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'parataxis', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'ROOT', 'nsubj', 'nmod', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'parataxis', 'appos', 'punct', 'ROOT', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'parataxis', 'amod', 'parataxis', 'cc', 'conj', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'amod', 'nmod', 'case', 'fixed', 'fixed', 'fixed', 'amod', 'parataxis', 'amod', 'nmod', 'nmod', 'fixed', 'cc', 'conj', 'punct', 'conj', 'fixed', 'fixed', 'amod', 'parataxis', 'fixed', 'fixed', 'punct']	[['Let', 'him', 'think'], ['him', 'think', 'of'], ['think', 'of', 'the'], ['of', 'the', 'grand'], ['the', 'grand', 'conception'], ['grand', 'conception', 'of'], ['conception', 'of', 'that'], ['of', 'that', 'building'], ['that', 'building', 'in'], ['building', 'in', 'the'], ['in', 'the', 'soul'], ['the', 'soul', 'of'], ['soul', 'of', 'the'], ['of', 'the', 'architect'], ['the', 'architect', ';—of'], ['architect', ';—of', 'the'], [';—of', 'the', 'faith'], ['the', 'faith', 'in'], ['faith', 'in', 'the'], ['in', 'the', 'hearts'], ['the', 'hearts', 'of'], ['hearts', 'of', 'the'], ['of', 'the', 'people,'], ['the', 'people,', 'which'], ['people,', 'which', 'furnished'], ['which', 'furnished', 'him'], ['furnished', 'him', 'with'], ['him', 'with', 'the'], ['with', 'the', 'means'], ['the', 'means', 'to'], ['means', 'to', 'commence'], ['to', 'commence', 'and'], ['commence', 'and', 'continue'], ['and', 'continue', 'that'], ['continue', 'that', 'labour'], ['that', 'labour', ';—'], ['labour', ';—', 'of'], [';—', 'of', 'the'], ['of', 'the', 'influence'], ['the', 'influence', 'of'], ['influence', 'of', 'the'], ['of', 'the', 'ideas,'], ['the', 'ideas,', 'which'], ['ideas,', 'which', 'required'], ['which', 'required', 'such'], ['required', 'such', 'a'], ['such', 'a', 'colossus'], ['a', 'colossus', 'to'], ['colossus', 'to', 'serve'], ['to', 'serve', 'as'], ['serve', 'as', 'a'], ['as', 'a', 'visible'], ['a', 'visible', 'representation'], ['visible', 'representation', 'of'], ['representation', 'of', 'unseen'], ['of', 'unseen', 'religious'], ['unseen', 'religious', 'feeling'], ['religious', 'feeling', '—'], ['feeling', '—', 'and'], ['—', 'and', 'let'], ['and', 'let', 'him'], ['let', 'him', 'compare'], ['him', 'compare', 'that'], ['compare', 'that', 'enthusiasm'], ['that', 'enthusiasm', 'with'], ['enthusiasm', 'with', 'the'], ['with', 'the', 'train'], ['the', 'train', 'of'], ['train', 'of', 'ideas,'], ['of', 'ideas,', 'that'], ['ideas,', 'that', 'some'], ['that', 'some', 'centuries'], ['some', 'centuries', 'afterwards'], ['centuries', 'afterwards', 'stopped'], ['afterwards', 'stopped', 'the'], ['stopped', 'the', 'labour.']]
781	There is a profound chasm between Erwin von Steinbach and our architects !	stern	74	13	['PROPN', 'AUX', 'X', 'X', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'X', 'X', 'NOUN', 'PUNCT']	['nsubj', 'cop', 'cc', 'amod', 'amod', 'ROOT', 'appos', 'flat', 'flat', 'flat', 'flat', 'appos', 'punct']	[['There', 'is', 'a'], ['is', 'a', 'profound'], ['a', 'profound', 'chasm'], ['profound', 'chasm', 'between'], ['chasm', 'between', 'Erwin'], ['between', 'Erwin', 'von'], ['Erwin', 'von', 'Steinbach'], ['von', 'Steinbach', 'and'], ['Steinbach', 'and', 'our'], ['and', 'our', 'architects'], ['our', 'architects', '!']]
782	I know, that for many years they have been occupied in filling up that chasm ; at Cologne too they are again working at the Cathedral.	stern	134	26	['SYM', 'NOUN', 'PUNCT', 'X', 'X', 'X', 'X', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'X', 'X', 'ADJ', 'PUNCT', 'X', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'X', 'X', 'PROPN', 'PUNCT']	['nmod', 'ROOT', 'punct', 'conj', 'fixed', 'fixed', 'advmod', 'amod', 'appos', 'parataxis', 'obj', 'case', 'obl', 'fixed', 'fixed', 'fixed', 'punct', 'nsubj', 'fixed', 'ROOT', 'obl', 'nmod', 'fixed', 'obj', 'appos', 'obl', 'flat', 'punct']	[['I', 'know,', 'that'], ['know,', 'that', 'for'], ['that', 'for', 'many'], ['for', 'many', 'years'], ['many', 'years', 'they'], ['years', 'they', 'have'], ['they', 'have', 'been'], ['have', 'been', 'occupied'], ['been', 'occupied', 'in'], ['occupied', 'in', 'filling'], ['in', 'filling', 'up'], ['filling', 'up', 'that'], ['up', 'that', 'chasm'], ['that', 'chasm', ';'], ['chasm', ';', 'at'], [';', 'at', 'Cologne'], ['at', 'Cologne', 'too'], ['Cologne', 'too', 'they'], ['too', 'they', 'are'], ['they', 'are', 'again'], ['are', 'again', 'working'], ['again', 'working', 'at'], ['working', 'at', 'the'], ['at', 'the', 'Cathedral.']]
783	But will they be able to join the broken wire ; will they be able to find again in our days, what constituted the power of prelate and builder ?	stern	144	30	['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'ADJ', 'PUNCT', 'X', 'NOUN', 'X', 'X', 'X', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'X', 'PUNCT', 'X', 'X', 'X', 'X', 'CCONJ', 'ADJ', 'X', 'NOUN', 'PUNCT']	['nmod', 'fixed', 'ROOT', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'amod', 'ROOT', 'fixed', 'fixed', 'det', 'parataxis', 'appos', 'case', 'nmod', 'amod', 'punct', 'appos', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'fixed', 'punct']	[['But', 'will', 'they'], ['will', 'they', 'be'], ['they', 'be', 'able'], ['be', 'able', 'to'], ['able', 'to', 'join'], ['to', 'join', 'the'], ['join', 'the', 'broken'], ['the', 'broken', 'wire'], ['broken', 'wire', ';'], ['wire', ';', 'will'], [';', 'will', 'they'], ['will', 'they', 'be'], ['they', 'be', 'able'], ['be', 'able', 'to'], ['able', 'to', 'find'], ['to', 'find', 'again'], ['find', 'again', 'in'], ['again', 'in', 'our'], ['in', 'our', 'days,'], ['our', 'days,', 'what'], ['days,', 'what', 'constituted'], ['what', 'constituted', 'the'], ['constituted', 'the', 'power'], ['the', 'power', 'of'], ['power', 'of', 'prelate'], ['of', 'prelate', 'and'], ['prelate', 'and', 'builder'], ['and', 'builder', '?']]
784	—I do not think so.	stern	19	5	['PUNCT', 'SYM', 'X', 'X', 'NOUN', 'X', 'PUNCT']	['mark', 'obl', 'fixed', 'fixed', 'fixed', 'ROOT', 'punct']	[['—I', 'do', 'not'], ['do', 'not', 'think'], ['not', 'think', 'so.']]
785	Money may be contributed, stone and lime may be bought, a draughtsman may be paid to draw a plan, and a mason to fix the stones but the lost and still venerable faith, that saw in an edifice a poem—a poem of granite, that spoke very loudly to the people—a poem in marble, that stood there as an immovable continual eternal prayer, cannot be purchased with money.	stern	362	67	['PROPN', 'X', 'X', 'X', 'PUNCT', 'ADJ', 'X', 'X', 'NOUN', 'X', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'NOUN', 'X', 'X', 'X', 'NOUN', 'X', 'NOUN', 'PUNCT', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'ADP', 'NOUN', 'X', 'X', 'VERB', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'X', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'X', 'ADJ', 'NOUN', 'INTJ', 'NOUN', 'PROPN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'X', 'X', 'X', 'X', 'PUNCT']	['nsubj', 'parataxis', 'fixed', 'fixed', 'punct', 'conj', 'fixed', 'amod', 'fixed', 'fixed', 'fixed', 'punct', 'cc', 'conj', 'parataxis', 'fixed', 'fixed', 'case', 'parataxis', 'cc', 'conj', 'punct', 'conj', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'obj', 'ROOT', 'punct', 'conj', 'obl', 'case', 'obl', 'fixed', 'cc', 'conj', 'obl', 'cc', 'conj', 'punct', 'appos', 'amod', 'appos', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'case', 'nmod', 'punct', 'conj', 'conj', 'amod', 'obl', 'case', 'fixed', 'fixed', 'obj', 'fixed', 'punct', 'conj', 'det', 'fixed', 'ROOT', 'fixed', 'punct']	[['Money', 'may', 'be'], ['may', 'be', 'contributed,'], ['be', 'contributed,', 'stone'], ['contributed,', 'stone', 'and'], ['stone', 'and', 'lime'], ['and', 'lime', 'may'], ['lime', 'may', 'be'], ['may', 'be', 'bought,'], ['be', 'bought,', 'a'], ['bought,', 'a', 'draughtsman'], ['a', 'draughtsman', 'may'], ['draughtsman', 'may', 'be'], ['may', 'be', 'paid'], ['be', 'paid', 'to'], ['paid', 'to', 'draw'], ['to', 'draw', 'a'], ['draw', 'a', 'plan,'], ['a', 'plan,', 'and'], ['plan,', 'and', 'a'], ['and', 'a', 'mason'], ['a', 'mason', 'to'], ['mason', 'to', 'fix'], ['to', 'fix', 'the'], ['fix', 'the', 'stones'], ['the', 'stones', 'but'], ['stones', 'but', 'the'], ['but', 'the', 'lost'], ['the', 'lost', 'and'], ['lost', 'and', 'still'], ['and', 'still', 'venerable'], ['still', 'venerable', 'faith,'], ['venerable', 'faith,', 'that'], ['faith,', 'that', 'saw'], ['that', 'saw', 'in'], ['saw', 'in', 'an'], ['in', 'an', 'edifice'], ['an', 'edifice', 'a'], ['edifice', 'a', 'poem—a'], ['a', 'poem—a', 'poem'], ['poem—a', 'poem', 'of'], ['poem', 'of', 'granite,'], ['of', 'granite,', 'that'], ['granite,', 'that', 'spoke'], ['that', 'spoke', 'very'], ['spoke', 'very', 'loudly'], ['very', 'loudly', 'to'], ['loudly', 'to', 'the'], ['to', 'the', 'people—a'], ['the', 'people—a', 'poem'], ['people—a', 'poem', 'in'], ['poem', 'in', 'marble,'], ['in', 'marble,', 'that'], ['marble,', 'that', 'stood'], ['that', 'stood', 'there'], ['stood', 'there', 'as'], ['there', 'as', 'an'], ['as', 'an', 'immovable'], ['an', 'immovable', 'continual'], ['immovable', 'continual', 'eternal'], ['continual', 'eternal', 'prayer,'], ['eternal', 'prayer,', 'cannot'], ['prayer,', 'cannot', 'be'], ['cannot', 'be', 'purchased'], ['be', 'purchased', 'with'], ['purchased', 'with', 'money.']]
786	* * There was one morning an unusual bustle on the frontiers between Lebak and Pandaglang.	stern	90	16	['SYM', 'PUNCT', 'PROPN', 'AUX', 'ADJ', 'NOUN', 'X', 'NOUN', 'X', 'X', 'X', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']	['ROOT', 'punct', 'nsubj', 'cop', 'nmod', 'ROOT', 'nmod', 'fixed', 'nmod', 'fixed', 'fixed', 'fixed', 'ROOT', 'nsubj', 'flat', 'flat', 'punct']	[['*', '*', 'There'], ['*', 'There', 'was'], ['There', 'was', 'one'], ['was', 'one', 'morning'], ['one', 'morning', 'an'], ['morning', 'an', 'unusual'], ['an', 'unusual', 'bustle'], ['unusual', 'bustle', 'on'], ['bustle', 'on', 'the'], ['on', 'the', 'frontiers'], ['the', 'frontiers', 'between'], ['frontiers', 'between', 'Lebak'], ['between', 'Lebak', 'and'], ['Lebak', 'and', 'Pandaglang.']]
787	Hundreds of saddled horses were on the way, and a thousand men at least, a large number for that place, ran to and fro in active expectancy.	stern	140	27	['NOUN', 'CCONJ', 'NOUN', 'X', 'ADJ', 'X', 'X', 'X', 'PUNCT', 'X', 'X', 'VERB', 'PRON', 'NOUN', 'VERB', 'PUNCT', 'X', 'X', 'PROPN', 'X', 'X', 'X', 'PUNCT', 'X', 'X', 'X', 'X', 'ADP', 'ADJ', 'X', 'PUNCT']	['nsubj', 'cc', 'conj', 'fixed', 'amod', 'fixed', 'fixed', 'fixed', 'punct', 'conj', 'cc', 'conj', 'nsubj', 'nsubj', 'ROOT', 'punct', 'cc', 'fixed', 'fixed', 'fixed', 'conj', 'appos', 'punct', 'conj', 'fixed', 'fixed', 'fixed', 'case', 'amod', 'obl', 'punct']	[['Hundreds', 'of', 'saddled'], ['of', 'saddled', 'horses'], ['saddled', 'horses', 'were'], ['horses', 'were', 'on'], ['were', 'on', 'the'], ['on', 'the', 'way,'], ['the', 'way,', 'and'], ['way,', 'and', 'a'], ['and', 'a', 'thousand'], ['a', 'thousand', 'men'], ['thousand', 'men', 'at'], ['men', 'at', 'least,'], ['at', 'least,', 'a'], ['least,', 'a', 'large'], ['a', 'large', 'number'], ['large', 'number', 'for'], ['number', 'for', 'that'], ['for', 'that', 'place,'], ['that', 'place,', 'ran'], ['place,', 'ran', 'to'], ['ran', 'to', 'and'], ['to', 'and', 'fro'], ['and', 'fro', 'in'], ['fro', 'in', 'active'], ['in', 'active', 'expectancy.']]
788	There were the chiefs of the villages, and the district chiefs of Lebak, all with their followers; and judging from the beautiful Arab steed, that stood there in his rich caparison, a chief of great importance must be there also.	stern	229	40	['ADP', 'ADJ', 'X', 'X', 'X', 'X', 'X', 'PUNCT', 'X', 'X', 'NOUN', 'NOUN', 'CCONJ', 'PROPN', 'PUNCT', 'ADP', 'X', 'ADJ', 'NOUN', 'PUNCT', 'X', 'NOUN', 'NOUN', 'X', 'X', 'PROPN', 'VERB', 'PUNCT', 'NOUN', 'X', 'ADJ', 'ADP', 'NOUN', 'X', 'X', 'PUNCT', 'X', 'X', 'CCONJ', 'NOUN', 'X', 'X', 'X', 'ADJ', 'NOUN', 'PUNCT']	['nsubj', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'appos', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'case', 'fixed', 'amod', 'nmod', 'punct', 'parataxis', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'conj', 'punct', 'conj', 'ROOT', 'advmod', 'case', 'fixed', 'obl', 'obj', 'punct', 'cc', 'conj', 'fixed', 'fixed', 'fixed', 'fixed', 'det', 'amod', 'obl', 'punct']	[['There', 'were', 'the'], ['were', 'the', 'chiefs'], ['the', 'chiefs', 'of'], ['chiefs', 'of', 'the'], ['of', 'the', 'villages,'], ['the', 'villages,', 'and'], ['villages,', 'and', 'the'], ['and', 'the', 'district'], ['the', 'district', 'chiefs'], ['district', 'chiefs', 'of'], ['chiefs', 'of', 'Lebak,'], ['of', 'Lebak,', 'all'], ['Lebak,', 'all', 'with'], ['all', 'with', 'their'], ['with', 'their', 'followers;'], ['their', 'followers;', 'and'], ['followers;', 'and', 'judging'], ['and', 'judging', 'from'], ['judging', 'from', 'the'], ['from', 'the', 'beautiful'], ['the', 'beautiful', 'Arab'], ['beautiful', 'Arab', 'steed,'], ['Arab', 'steed,', 'that'], ['steed,', 'that', 'stood'], ['that', 'stood', 'there'], ['stood', 'there', 'in'], ['there', 'in', 'his'], ['in', 'his', 'rich'], ['his', 'rich', 'caparison,'], ['rich', 'caparison,', 'a'], ['caparison,', 'a', 'chief'], ['a', 'chief', 'of'], ['chief', 'of', 'great'], ['of', 'great', 'importance'], ['great', 'importance', 'must'], ['importance', 'must', 'be'], ['must', 'be', 'there'], ['be', 'there', 'also.']]
789	Such was the case.	stern	18	4	['NOUN', 'AUX', 'X', 'X', 'PUNCT']	['nsubj', 'cop', 'ROOT', 'fixed', 'punct']	[['Such', 'was', 'the'], ['was', 'the', 'case.']]
790	The Regent of Lebak, Radeen Adhipatti, Karta Natta Negara, had left Rankas-Betong with a numerous retinue, and notwithstanding his great age had travelled the twelve or thirteen miles that separated his residence from Pandaglang.	stern	229	34	['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'AUX', 'VERB', 'X', 'X', 'X', 'VERB', 'ADJ', 'PUNCT', 'X', 'NOUN', 'X', 'NOUN', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'ADP', 'NOUN', 'X', 'X', 'X', 'X', 'PROPN', 'PROPN', 'PUNCT']	['nsubj', 'flat', 'flat', 'flat', 'punct', 'conj', 'flat', 'punct', 'conj', 'flat', 'flat', 'punct', 'aux', 'ROOT', 'iobj', 'fixed', 'cc', 'xcomp', 'fixed', 'punct', 'conj', 'fixed', 'obj', 'fixed', 'obj', 'ccomp', 'obj', 'fixed', 'fixed', 'fixed', 'fixed', 'nmod', 'nmod', 'appos', 'fixed', 'fixed', 'obj', 'appos', 'punct']	[['The', 'Regent', 'of'], ['Regent', 'of', 'Lebak,'], ['of', 'Lebak,', 'Radeen'], ['Lebak,', 'Radeen', 'Adhipatti,'], ['Radeen', 'Adhipatti,', 'Karta'], ['Adhipatti,', 'Karta', 'Natta'], ['Karta', 'Natta', 'Negara,'], ['Natta', 'Negara,', 'had'], ['Negara,', 'had', 'left'], ['had', 'left', 'Rankas-Betong'], ['left', 'Rankas-Betong', 'with'], ['Rankas-Betong', 'with', 'a'], ['with', 'a', 'numerous'], ['a', 'numerous', 'retinue,'], ['numerous', 'retinue,', 'and'], ['retinue,', 'and', 'notwithstanding'], ['and', 'notwithstanding', 'his'], ['notwithstanding', 'his', 'great'], ['his', 'great', 'age'], ['great', 'age', 'had'], ['age', 'had', 'travelled'], ['had', 'travelled', 'the'], ['travelled', 'the', 'twelve'], ['the', 'twelve', 'or'], ['twelve', 'or', 'thirteen'], ['or', 'thirteen', 'miles'], ['thirteen', 'miles', 'that'], ['miles', 'that', 'separated'], ['that', 'separated', 'his'], ['separated', 'his', 'residence'], ['his', 'residence', 'from'], ['residence', 'from', 'Pandaglang.']]
791	"A new Assistant Resident was comiDg ; and custom, which has ""Radeen Adhipatti"" is his title, and ""Karta Natta Negara"" his name."	stern	127	22	['NOUN', 'NOUN', 'PROPN', 'PROPN', 'AUX', 'ADV', 'PUNCT', 'X', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'X', 'PUNCT', 'AUX', 'X', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT']	['parataxis', 'fixed', 'nsubj', 'flat', 'cop', 'ROOT', 'punct', 'appos', 'fixed', 'punct', 'conj', 'nsubj', 'punct', 'appos', 'flat', 'punct', 'cop', 'nmod', 'parataxis', 'punct', 'conj', 'punct', 'appos', 'flat', 'flat', 'punct', 'ROOT', 'fixed', 'punct']	"[['A', 'new', 'Assistant'], ['new', 'Assistant', 'Resident'], ['Assistant', 'Resident', 'was'], ['Resident', 'was', 'comiDg'], ['was', 'comiDg', ';'], ['comiDg', ';', 'and'], [';', 'and', 'custom,'], ['and', 'custom,', 'which'], ['custom,', 'which', 'has'], ['which', 'has', '""Radeen'], ['has', '""Radeen', 'Adhipatti""'], ['""Radeen', 'Adhipatti""', 'is'], ['Adhipatti""', 'is', 'his'], ['is', 'his', 'title,'], ['his', 'title,', 'and'], ['title,', 'and', '""Karta'], ['and', '""Karta', 'Natta'], ['""Karta', 'Natta', 'Negara""'], ['Natta', 'Negara""', 'his'], ['Negara""', 'his', 'name.']]"
792	  the force of law in the Indies more than anywhere else, will have it that the officer who is intrusted with the rule of a district must be festively received on his arrival.	stern	175	35	['SPACE', 'X', 'X', 'CCONJ', 'PROPN', 'ADP', 'X', 'X', 'X', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'X', 'X', 'X', 'NOUN', 'AUX', 'NOUN', 'X', 'X', 'X', 'CCONJ', 'CCONJ', 'NOUN', 'ADJ', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'PUNCT']	['ROOT', 'obl', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'amod', 'fixed', 'punct', 'conj', 'nsubj', 'det', 'obl', 'appos', 'fixed', 'fixed', 'cop', 'det', 'obj', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'fixed', 'fixed', 'advmod', 'fixed', 'fixed', 'obj', 'punct']	[['', '', 'the'], ['', 'the', 'force'], ['the', 'force', 'of'], ['force', 'of', 'law'], ['of', 'law', 'in'], ['law', 'in', 'the'], ['in', 'the', 'Indies'], ['the', 'Indies', 'more'], ['Indies', 'more', 'than'], ['more', 'than', 'anywhere'], ['than', 'anywhere', 'else,'], ['anywhere', 'else,', 'will'], ['else,', 'will', 'have'], ['will', 'have', 'it'], ['have', 'it', 'that'], ['it', 'that', 'the'], ['that', 'the', 'officer'], ['the', 'officer', 'who'], ['officer', 'who', 'is'], ['who', 'is', 'intrusted'], ['is', 'intrusted', 'with'], ['intrusted', 'with', 'the'], ['with', 'the', 'rule'], ['the', 'rule', 'of'], ['rule', 'of', 'a'], ['of', 'a', 'district'], ['a', 'district', 'must'], ['district', 'must', 'be'], ['must', 'be', 'festively'], ['be', 'festively', 'received'], ['festively', 'received', 'on'], ['received', 'on', 'his'], ['on', 'his', 'arrival.']]
793	The Controller, too, was present.	stern	33	5	['PROPN', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT', 'AUX', 'ADJ', 'PUNCT']	['nsubj', 'flat', 'punct', 'appos', 'punct', 'cop', 'ROOT', 'punct']	[['The', 'Controller,', 'too,'], ['Controller,', 'too,', 'was'], ['too,', 'was', 'present.']]
794	He was a man of middle age, and after the death of the last Assistant Resident, being the next in rank, had carried on the government for some mouths.	stern	150	29	['X', 'AUX', 'X', 'NOUN', 'CCONJ', 'X', 'X', 'PUNCT', 'X', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'X', 'X', 'ADP', 'NOUN', 'PUNCT', 'AUX', 'X', 'X', 'X', 'VERB', 'X', 'X', 'NOUN', 'PUNCT']	['nsubj', 'cop', 'cc', 'ROOT', 'dep', 'fixed', 'fixed', 'punct', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'nsubj', 'flat', 'punct', 'conj', 'fixed', 'fixed', 'case', 'nmod', 'punct', 'aux', 'obj', 'fixed', 'fixed', 'acl', 'obl', 'fixed', 'fixed', 'punct']	[['He', 'was', 'a'], ['was', 'a', 'man'], ['a', 'man', 'of'], ['man', 'of', 'middle'], ['of', 'middle', 'age,'], ['middle', 'age,', 'and'], ['age,', 'and', 'after'], ['and', 'after', 'the'], ['after', 'the', 'death'], ['the', 'death', 'of'], ['death', 'of', 'the'], ['of', 'the', 'last'], ['the', 'last', 'Assistant'], ['last', 'Assistant', 'Resident,'], ['Assistant', 'Resident,', 'being'], ['Resident,', 'being', 'the'], ['being', 'the', 'next'], ['the', 'next', 'in'], ['next', 'in', 'rank,'], ['in', 'rank,', 'had'], ['rank,', 'had', 'carried'], ['had', 'carried', 'on'], ['carried', 'on', 'the'], ['on', 'the', 'government'], ['the', 'government', 'for'], ['government', 'for', 'some'], ['for', 'some', 'mouths.']]
